state_name,county_name,year,age_group,total_population,total_male_population,total_female_population,white_male_population,white_female_population,black_male_population,black_female_population,american_indian_male_population,american_indian_female_population,asian_male_population,asian_female_population,native_hawaiian_male_population,native_hawaiian_female_population,not_hispanic_male_population,not_hispanic_female_population,hispanic_male_population,hispanic_female_population
North Carolina,Bladen County,2010,Total,35181,16895,18286,10500,10828,5699,6704,450,440,35,42,5,3,15493,17165,1402,1121
North Carolina,Bladen County,2010,0-4,2111,1072,1039,619,589,382,364,31,36,3,2,0,0,897,870,175,169
North Carolina,Bladen County,2010,5-9,2172,1076,1096,623,633,386,370,40,47,1,5,0,1,934,940,142,156
North Carolina,Bladen County,2010,10-14,2337,1193,1144,648,638,468,427,40,34,2,0,0,0,1084,1025,109,119
North Carolina,Bladen County,2010,15-19,2312,1201,1111,652,580,494,488,32,22,1,2,0,0,1087,1029,114,82
North Carolina,Bladen County,2010,20-24,1929,984,945,558,527,368,375,39,28,8,2,0,0,853,860,131,85
North Carolina,Bladen County,2010,25-29,1953,942,1011,588,564,295,390,47,38,2,3,0,1,774,898,168,113
North Carolina,Bladen County,2010,30-34,2022,995,1027,648,648,303,326,31,34,1,3,1,0,842,906,153,121
North Carolina,Bladen County,2010,35-39,2171,1043,1128,689,682,302,403,38,24,3,7,0,0,918,1051,125,77
North Carolina,Bladen County,2010,40-44,2182,1054,1128,694,689,315,396,33,28,2,2,2,0,959,1069,95,59
North Carolina,Bladen County,2010,45-49,2482,1159,1323,741,790,380,488,27,25,3,3,2,1,1093,1282,66,41
North Carolina,Bladen County,2010,50-54,2759,1341,1418,819,815,492,569,19,25,5,5,0,0,1286,1385,55,33
North Carolina,Bladen County,2010,55-59,2785,1347,1438,835,833,476,564,27,26,0,5,0,0,1321,1418,26,20
North Carolina,Bladen County,2010,60-64,2450,1203,1247,820,781,356,435,18,24,3,1,0,0,1187,1235,16,12
North Carolina,Bladen County,2010,65-69,1895,865,1030,588,650,260,359,12,16,1,0,0,0,859,1011,6,19
North Carolina,Bladen County,2010,70-74,1386,609,777,413,488,184,272,10,12,0,1,0,0,596,771,13,6
North Carolina,Bladen County,2010,75-79,1023,424,599,304,401,112,191,6,4,0,1,0,0,420,596,4,3
North Carolina,Bladen County,2010,80-84,675,253,422,171,273,82,140,0,9,0,0,0,0,250,418,3,4
North Carolina,Bladen County,2010,85-over,537,134,403,90,247,44,147,0,8,0,0,0,0,133,401,1,2
North Carolina,Bladen County,2011,Total,34880,16695,18185,10403,10773,5606,6638,441,456,36,43,5,3,15324,17057,1371,1128
North Carolina,Bladen County,2011,0-4,1950,981,969,561,558,354,335,24,31,3,2,0,0,828,807,153,162
North Carolina,Bladen County,2011,5-9,2199,1099,1100,644,646,384,363,42,46,4,5,0,0,945,945,154,155
North Carolina,Bladen County,2011,10-14,2275,1155,1120,644,619,439,418,39,39,2,1,0,1,1037,998,118,122
North Carolina,Bladen County,2011,15-19,2234,1146,1088,610,571,479,462,32,28,1,2,0,0,1039,993,107,95
North Carolina,Bladen County,2011,20-24,1939,980,959,547,541,380,379,38,22,6,2,0,0,875,884,105,75
North Carolina,Bladen County,2011,25-29,1882,895,987,553,543,285,372,43,52,3,3,0,0,736,886,159,101
North Carolina,Bladen County,2011,30-34,2027,993,1034,657,647,291,338,34,29,0,3,1,1,854,907,139,127
North Carolina,Bladen County,2011,35-39,2128,1023,1105,670,690,307,370,35,24,2,8,0,0,886,1020,137,85
North Carolina,Bladen County,2011,40-44,2132,1027,1105,684,658,295,407,35,28,3,2,2,0,927,1043,100,62
North Carolina,Bladen County,2011,45-49,2447,1170,1277,756,765,377,464,25,26,3,2,2,0,1102,1236,68,41
North Carolina,Bladen County,2011,50-54,2698,1284,1414,781,815,473,565,20,26,4,5,0,1,1233,1381,51,33
North Carolina,Bladen County,2011,55-59,2782,1353,1429,839,843,480,547,25,24,1,4,0,0,1326,1409,27,20
North Carolina,Bladen County,2011,60-64,2527,1232,1295,840,785,361,478,19,25,3,2,0,0,1210,1286,22,9
North Carolina,Bladen County,2011,65-69,1965,913,1052,622,667,274,361,12,19,1,0,0,0,904,1029,9,23
North Carolina,Bladen County,2011,70-74,1390,603,787,410,482,183,286,8,13,0,1,0,0,590,779,13,8
North Carolina,Bladen County,2011,75-79,1074,449,625,316,413,121,206,10,5,0,0,0,0,444,622,5,3
North Carolina,Bladen County,2011,80-84,679,251,428,168,272,83,144,0,10,0,1,0,0,248,424,3,4
North Carolina,Bladen County,2011,85-over,552,141,411,101,258,40,143,0,9,0,0,0,0,140,408,1,3
North Carolina,Bladen County,2012,Total,34807,16700,18107,10335,10696,5625,6592,453,491,46,54,5,3,15310,16993,1390,1114
North Carolina,Bladen County,2012,0-4,1906,963,943,531,537,348,314,35,41,7,3,0,0,817,779,146,164
North Carolina,Bladen County,2012,5-9,2246,1151,1095,640,626,428,377,44,43,4,7,0,0,977,944,174,151
North Carolina,Bladen County,2012,10-14,2253,1143,1110,644,608,419,414,36,47,6,2,0,1,1021,977,122,133
North Carolina,Bladen County,2012,15-19,2146,1111,1035,594,534,463,441,22,38,0,2,0,0,997,949,114,86
North Carolina,Bladen County,2012,20-24,2015,1026,989,572,546,405,402,35,23,5,2,0,0,928,928,98,61
North Carolina,Bladen County,2012,25-29,1772,845,927,507,512,283,352,40,46,3,3,0,0,707,842,138,85
North Carolina,Bladen County,2012,30-34,1991,976,1015,610,607,302,351,51,38,2,4,1,1,846,889,130,126
North Carolina,Bladen County,2012,35-39,2054,980,1074,652,674,289,347,28,28,2,10,0,0,827,983,153,91
North Carolina,Bladen County,2012,40-44,2165,1053,1112,698,677,298,400,42,24,4,3,2,0,955,1050,98,62
North Carolina,Bladen County,2012,45-49,2372,1121,1251,730,754,361,447,18,28,2,2,2,0,1044,1203,77,48
North Carolina,Bladen County,2012,50-54,2639,1245,1394,774,819,445,534,17,28,5,6,0,1,1192,1360,53,34
North Carolina,Bladen County,2012,55-59,2769,1350,1419,826,824,483,559,32,20,2,6,0,0,1320,1400,30,19
North Carolina,Bladen County,2012,60-64,2532,1215,1317,821,790,358,492,23,29,2,1,0,0,1192,1304,23,13
North Carolina,Bladen County,2012,65-69,2115,996,1119,679,720,298,372,12,20,2,1,0,0,984,1097,12,22
North Carolina,Bladen County,2012,70-74,1448,648,800,445,493,195,289,6,13,0,1,0,0,638,791,10,9
North Carolina,Bladen County,2012,75-79,1130,474,656,330,425,130,220,11,8,0,0,0,0,466,654,8,2
North Carolina,Bladen County,2012,80-84,693,256,437,178,286,77,142,1,7,0,1,0,0,253,433,3,4
North Carolina,Bladen County,2012,85-over,561,147,414,104,264,43,139,0,10,0,0,0,0,146,410,1,4
North Carolina,Bladen County,2013,Total,34618,16573,18045,10262,10627,5564,6590,449,492,51,51,5,4,15202,16951,1371,1094
North Carolina,Bladen County,2013,0-4,1874,936,938,508,515,341,339,33,36,8,4,0,0,795,790,141,148
North Carolina,Bladen County,2013,5-9,2204,1133,1071,646,616,415,366,35,40,4,5,0,0,958,915,175,156
North Carolina,Bladen County,2013,10-14,2166,1086,1080,619,600,388,383,38,52,6,4,0,1,959,941,127,139
North Carolina,Bladen County,2013,15-19,2117,1107,1010,594,523,452,423,27,37,1,1,0,0,995,914,112,96
North Carolina,Bladen County,2013,20-24,2046,1062,984,579,519,431,429,35,19,4,1,0,0,964,937,98,47
North Carolina,Bladen County,2013,25-29,1752,816,936,466,513,298,362,36,43,4,4,0,1,698,861,118,75
North Carolina,Bladen County,2013,30-34,1908,925,983,557,575,305,344,54,43,1,5,0,1,816,871,109,112
North Carolina,Bladen County,2013,35-39,1983,958,1025,641,640,279,330,27,31,2,8,1,0,804,927,154,98
North Carolina,Bladen County,2013,40-44,2197,1072,1125,722,692,291,394,41,25,6,4,0,0,955,1058,117,67
North Carolina,Bladen County,2013,45-49,2236,1037,1199,694,714,310,443,19,24,3,2,3,0,962,1153,75,46
North Carolina,Bladen County,2013,50-54,2569,1196,1373,755,808,409,520,21,32,6,3,1,1,1140,1341,56,32
North Carolina,Bladen County,2013,55-59,2757,1336,1421,827,839,481,546,19,22,1,5,0,0,1301,1399,35,22
North Carolina,Bladen County,2013,60-64,2610,1244,1366,816,823,385,510,32,25,1,2,0,0,1228,1353,16,13
North Carolina,Bladen County,2013,65-69,2204,1056,1148,723,734,313,385,11,23,2,1,0,0,1038,1129,18,19
North Carolina,Bladen County,2013,70-74,1535,684,851,476,528,198,305,8,12,1,1,0,0,679,840,5,11
North Carolina,Bladen County,2013,75-79,1167,490,677,330,436,145,226,10,10,1,0,0,0,480,673,10,4
North Carolina,Bladen County,2013,80-84,714,273,441,193,289,77,144,3,6,0,1,0,0,272,437,1,4
North Carolina,Bladen County,2013,85-over,579,162,417,116,263,46,141,0,12,0,0,0,0,158,412,4,5
North Carolina,Bladen County,2014,Total,34361,16450,17911,10198,10567,5475,6505,468,491,53,56,6,6,15069,16834,1381,1077
North Carolina,Bladen County,2014,0-4,1871,937,934,481,497,352,351,46,34,9,6,0,1,795,793,142,141
North Carolina,Bladen County,2014,5-9,2134,1089,1045,627,590,395,365,29,41,5,7,0,0,915,896,174,149
North Carolina,Bladen County,2014,10-14,2161,1094,1067,619,613,387,366,44,43,5,4,1,1,955,927,139,140
North Carolina,Bladen County,2014,15-19,2003,1056,947,594,508,397,376,26,35,2,0,0,0,951,857,105,90
North Carolina,Bladen County,2014,20-24,2059,1081,978,588,506,443,424,36,29,3,3,0,1,974,924,107,54
North Carolina,Bladen County,2014,25-29,1753,808,945,454,533,298,360,36,36,6,3,0,1,709,867,99,78
North Carolina,Bladen County,2014,30-34,1817,860,957,518,551,281,339,55,45,0,6,0,1,751,874,109,83
North Carolina,Bladen County,2014,35-39,1950,962,988,646,634,274,303,31,29,2,5,1,0,811,880,151,108
North Carolina,Bladen County,2014,40-44,2177,1031,1146,684,686,297,413,33,26,5,6,0,0,917,1070,114,76
