county_fips,year,adult_smoking_percent,adult_obesity_percent,physical_inactivity_percent,food_environment_index
01001,2010,28.1,30,NA,NA
01003,2010,23.1,24.5,NA,NA
01005,2010,22.7,36.4,NA,NA
01007,2010,NA,31.7,NA,NA
01009,2010,23.4,31.5,NA,NA
01011,2010,NA,37.3,NA,NA
01013,2010,27.5,35.5,NA,NA
01015,2010,26.8,33.2,NA,NA
01017,2010,17.5,35.7,NA,NA
01019,2010,27.3,30.7,NA,NA
01021,2010,26.9,33.9,NA,NA
01023,2010,17.2,36.1,NA,NA
01025,2010,20.1,35.1,NA,NA
01027,2010,23.5,31.6,NA,NA
01029,2010,NA,29.3,NA,NA
01031,2010,23.5,32.5,NA,NA
01033,2010,29.5,35.7,NA,NA
01035,2010,12.6,32.6,NA,NA
01037,2010,NA,34.5,NA,NA
01039,2010,28.1,31.6,NA,NA
01041,2010,NA,34.6,NA,NA
01043,2010,26.5,29.4,NA,NA
01045,2010,27.8,33.1,NA,NA
01047,2010,19.7,41.2,NA,NA
01049,2010,19.7,31.7,NA,NA
01051,2010,21.7,28.5,NA,NA
01053,2010,26,35.2,NA,NA
01055,2010,27.7,32.5,NA,NA
01057,2010,21.9,33,NA,NA
01059,2010,NA,29.8,NA,NA
01061,2010,NA,32.3,NA,NA
01063,2010,NA,43.5,NA,NA
01065,2010,NA,38.6,NA,NA
01067,2010,NA,33.3,NA,NA
01069,2010,21.4,33,NA,NA
01071,2010,35.5,30.8,NA,NA
01073,2010,23.1,31.1,NA,NA
01075,2010,22,29.8,NA,NA
01077,2010,18.8,30.1,NA,NA
01079,2010,26.8,32.1,NA,NA
01081,2010,23.8,30.2,NA,NA
01083,2010,19.4,27.7,NA,NA
01085,2010,NA,40.3,NA,NA
01087,2010,13.9,40.2,NA,NA
01089,2010,20.7,30.9,NA,NA
01091,2010,15,37,NA,NA
01093,2010,NA,29.3,NA,NA
01095,2010,29.4,27.4,NA,NA
01097,2010,24.7,29.9,NA,NA
01099,2010,21.1,36.2,NA,NA
01101,2010,19,33,NA,NA
01103,2010,26.6,35,NA,NA
01105,2010,NA,40.2,NA,NA
01107,2010,15.6,35.3,NA,NA
01109,2010,17.7,36.7,NA,NA
01111,2010,24.8,31.7,NA,NA
01113,2010,NA,34.8,NA,NA
01115,2010,29.6,33.9,NA,NA
01117,2010,20.3,28.1,NA,NA
01119,2010,NA,40,NA,NA
01121,2010,24.7,32.8,NA,NA
01123,2010,33.3,33,NA,NA
01125,2010,22.1,32.2,NA,NA
01127,2010,30.1,32.4,NA,NA
01129,2010,NA,34.6,NA,NA
01131,2010,NA,39.4,NA,NA
01133,2010,27.3,28.3,NA,NA
02013,2010,NA,28.2,NA,NA
02016,2010,35.2,28.9,NA,NA
02020,2010,19.8,25.9,NA,NA
02050,2010,34.4,34.4,NA,NA
02060,2010,NA,34.2,NA,NA
