County,Percentage,CountyFIPS,year
Alamance,9.6,37001,2006
Alexander,8.8,37003,2006
Alleghany,8.6,37005,2006
Anson,10.1,37007,2006
Ashe,7.9,37009,2006
Avery,8.9,37011,2006
Beaufort,9.6,37013,2006
Bertie,11.9,37015,2006
Bladen,9.7,37017,2006
Brunswick,7.9,37019,2006
Buncombe,7.4,37021,2006
Burke,8.6,37023,2006
Cabarrus,9.6,37025,2006
Caldwell,9.3,37027,2006
Camden,10.3,37029,2006
Carteret,9.5,37031,2006
Caswell,11.1,37033,2006
Catawba,8.8,37035,2006
Chatham,8.8,37037,2006
Cherokee,9.3,37039,2006
Chowan,9.8,37041,2006
Clay,8.9,37043,2006
Cleveland,11.2,37045,2006
Columbus,11,37047,2006
Craven,8.4,37049,2006
Cumberland,10.6,37051,2006
Currituck,7.5,37053,2006
Dare,7.6,37055,2006
Davidson,10.2,37057,2006
Davie,9,37059,2006
Duplin,10.6,37061,2006
Durham,8.5,37063,2006
Edgecombe,12.2,37065,2006
Forsyth,8.2,37067,2006
Franklin,10.5,37069,2006
Gaston,10.4,37071,2006
Gates,12,37073,2006
Graham,8.9,37075,2006
Granville,9.7,37077,2006
Greene,11.7,37079,2006
Guilford,9.2,37081,2006
Halifax,12.5,37083,2006
Harnett,9.9,37085,2006
Haywood,8.7,37087,2006
Henderson,6.9,37089,2006
Hertford,13.9,37091,2006
Hoke,11.9,37093,2006
Hyde,10.7,37095,2006
Iredell,8.4,37097,2006
Jackson,9.2,37099,2006
Johnston,9.5,37101,2006
Jones,10.6,37103,2006
Lee,9.4,37105,2006
Lenoir,10.3,37107,2006
Lincoln,9,37109,2006
Macon,7.7,37113,2006
Madison,8.8,37115,2006
Martin,11.6,37117,2006
Mcdowell,9.9,37111,2006
Mecklenburg,7.7,37119,2006
Mitchell,9.9,37121,2006
Montgomery,9.9,37123,2006
Moore,8.6,37125,2006
Nash,10.4,37127,2006
New Hanover,8.3,37129,2006
Northampton,12.9,37131,2006
Onslow,10.2,37133,2006
Orange,7.5,37135,2006
Pamlico,9.2,37137,2006
Pasquotank,10.4,37139,2006
Pender,9,37141,2006
Perquimans,10,37143,2006
Person,9.1,37145,2006
Pitt,9.9,37147,2006
Polk,7.9,37149,2006
Randolph,7.9,37151,2006
Richmond,9.2,37153,2006
Robeson,12,37155,2006
Rockingham,10.4,37157,2006
Rowan,11.6,37159,2006
Rutherford,9.5,37161,2006
Sampson,10.2,37163,2006
Scotland,11.4,37165,2006
Stanly,8.8,37167,2006
Stokes,9.7,37169,2006
Surry,8.7,37171,2006
Swain,9.9,37173,2006
Transylvania,8.1,37175,2006
Tyrrell,10,37177,2006
Union,8,37179,2006
Vance,11.6,37181,2006
Wake,7.4,37183,2006
Warren,12.1,37185,2006
Washington,10,37187,2006
Watauga,7.8,37189,2006
Wayne,10.1,37191,2006
Wilkes,9.7,37193,2006
Wilson,10.5,37195,2006
Yadkin,9,37197,2006
Yancey,7.7,37199,2006
Alamance,9.4,37001,2007
Alexander,9,37003,2007
Alleghany,8.9,37005,2007
Anson,11,37007,2007
Ashe,7.1,37009,2007
Avery,9.1,37011,2007
Beaufort,9.3,37013,2007
Bertie,12.3,37015,2007
Bladen,9.9,37017,2007
Brunswick,7.9,37019,2007
Buncombe,7.8,37021,2007
