fips,state,county,year,adult_smoking_percent,adult_obesity_percent,physical_inactivity_percent
37001,North Carolina,Alamance,2010,25.58,28.8,NA
37003,North Carolina,Alexander,2010,24.4,28.2,NA
37005,North Carolina,Alleghany,2010,27.26,25.9,NA
37007,North Carolina,Anson,2010,25.12,33.1,NA
37009,North Carolina,Ashe,2010,23.79,28.4,NA
37011,North Carolina,Avery,2010,24.9,26.5,NA
37013,North Carolina,Beaufort,2010,24.12,34.1,NA
37015,North Carolina,Bertie,2010,20.29,37,NA
37017,North Carolina,Bladen,2010,22.26,30.9,NA
37019,North Carolina,Brunswick,2010,23.6,27.5,NA
37021,North Carolina,Buncombe,2010,23.63,21.2,NA
37023,North Carolina,Burke,2010,31.32,27.5,NA
37025,North Carolina,Cabarrus,2010,20.64,28.5,NA
37027,North Carolina,Caldwell,2010,25.18,29.9,NA
37029,North Carolina,Camden,2010,NA,31.8,NA
37031,North Carolina,Carteret,2010,26.18,27.3,NA
37033,North Carolina,Caswell,2010,35.07,30.1,NA
37035,North Carolina,Catawba,2010,20.1,26.4,NA
37037,North Carolina,Chatham,2010,23.38,24.6,NA
37039,North Carolina,Cherokee,2010,28.38,24.7,NA
37041,North Carolina,Chowan,2010,26.08,30.2,NA
37043,North Carolina,Clay,2010,24.25,24.6,NA
37045,North Carolina,Cleveland,2010,25.21,29.7,NA
37047,North Carolina,Columbus,2010,27.26,31.7,NA
37049,North Carolina,Craven,2010,21.45,30.3,NA
37051,North Carolina,Cumberland,2010,26.39,31.1,NA
37053,North Carolina,Currituck,2010,36.74,27.2,NA
37055,North Carolina,Dare,2010,29.45,24.3,NA
37057,North Carolina,Davidson,2010,26.36,30.1,NA
37059,North Carolina,Davie,2010,28.66,27.9,NA
37061,North Carolina,Duplin,2010,21.44,31.1,NA
37063,North Carolina,Durham,2010,18.95,27.6,NA
37065,North Carolina,Edgecombe,2010,29.58,37.8,NA
37067,North Carolina,Forsyth,2010,22.08,24.7,NA
37069,North Carolina,Franklin,2010,24.17,29.8,NA
37071,North Carolina,Gaston,2010,27.91,28.6,NA
37073,North Carolina,Gates,2010,14.29,33.4,NA
37075,North Carolina,Graham,2010,NA,28.8,NA
37077,North Carolina,Granville,2010,27.24,36.1,NA
37079,North Carolina,Greene,2010,12.04,33.9,NA
37081,North Carolina,Guilford,2010,20.27,27.8,NA
37083,North Carolina,Halifax,2010,19.69,34.1,NA
37085,North Carolina,Harnett,2010,26.83,29.5,NA
37087,North Carolina,Haywood,2010,26.72,28.3,NA
37089,North Carolina,Henderson,2010,20.33,25.8,NA
37091,North Carolina,Hertford,2010,21.82,34.3,NA
37093,North Carolina,Hoke,2010,33.63,32.7,NA
37095,North Carolina,Hyde,2010,NA,31.2,NA
37097,North Carolina,Iredell,2010,26.39,26.8,NA
37099,North Carolina,Jackson,2010,27.83,28,NA
37101,North Carolina,Johnston,2010,25.24,31.9,NA
37103,North Carolina,Jones,2010,NA,31.8,NA
37105,North Carolina,Lee,2010,24.66,28.7,NA
37107,North Carolina,Lenoir,2010,24.76,32.5,NA
37109,North Carolina,Lincoln,2010,24.12,28.4,NA
37111,North Carolina,McDowell,2010,26.28,32.2,NA
37113,North Carolina,Macon,2010,19.2,27.7,NA
37115,North Carolina,Madison,2010,32.21,26.5,NA
37117,North Carolina,Martin,2010,22.33,34.2,NA
37119,North Carolina,Mecklenburg,2010,17.39,24.2,NA
37121,North Carolina,Mitchell,2010,26.02,26.2,NA
37123,North Carolina,Montgomery,2010,26.59,30.8,NA
37125,North Carolina,Moore,2010,20.47,24.1,NA
37127,North Carolina,Nash,2010,23.15,32.3,NA
37129,North Carolina,New Hanover,2010,20,23.8,NA
37131,North Carolina,Northampton,2010,25.52,37.5,NA
