county,year,county_fips,diabetes_percentage,adult_smoking_percent,adult_obesity_percent,physical_inactivity_percent
alamance,2010,37001,11.2,25.6,28.8,NA
alexander,2010,37003,9.5,24.4,28.2,NA
alleghany,2010,37005,9,27.3,25.9,NA
anson,2010,37007,12.1,25.1,33.1,NA
ashe,2010,37009,7.7,23.8,28.4,NA
avery,2010,37011,9.2,24.9,26.5,NA
beaufort,2010,37013,12.1,24.1,34.1,NA
bertie,2010,37015,12.4,20.3,37,NA
bladen,2010,37017,12.6,22.3,30.9,NA
brunswick,2010,37019,9.3,23.6,27.5,NA
buncombe,2010,37021,8.4,23.6,21.2,NA
burke,2010,37023,11.2,31.3,27.5,NA
cabarrus,2010,37025,9.6,20.6,28.5,NA
caldwell,2010,37027,10.1,25.2,29.9,NA
camden,2010,37029,9.8,NA,31.8,NA
carteret,2010,37031,9.2,26.2,27.3,NA
caswell,2010,37033,11.8,35.1,30.1,NA
catawba,2010,37035,9.1,20.1,26.4,NA
chatham,2010,37037,8,23.4,24.6,NA
cherokee,2010,37039,10.5,28.4,24.7,NA
chowan,2010,37041,11.2,26.1,30.2,NA
clay,2010,37043,8.3,24.2,24.6,NA
cleveland,2010,37045,11.9,25.2,29.7,NA
columbus,2010,37047,11.6,27.3,31.7,NA
craven,2010,37049,11.2,21.4,30.3,NA
cumberland,2010,37051,12.6,26.4,31.1,NA
currituck,2010,37053,10,36.7,27.2,NA
dare,2010,37055,8.7,29.4,24.3,NA
davidson,2010,37057,9.9,26.4,30.1,NA
davie,2010,37059,10,28.7,27.9,NA
duplin,2010,37061,12.7,21.4,31.1,NA
durham,2010,37063,10,18.9,27.6,NA
edgecombe,2010,37065,12.8,29.6,37.8,NA
forsyth,2010,37067,9.4,22.1,24.7,NA
franklin,2010,37069,9.6,24.2,29.8,NA
gaston,2010,37071,11.4,27.9,28.6,NA
gates,2010,37073,11.4,14.3,33.4,NA
graham,2010,37075,9.9,NA,28.8,NA
granville,2010,37077,11.6,27.2,36.1,NA
greene,2010,37079,11,12,33.9,NA
guilford,2010,37081,9.7,20.3,27.8,NA
halifax,2010,37083,13.7,19.7,34.1,NA
harnett,2010,37085,11.2,26.8,29.5,NA
haywood,2010,37087,8.3,26.7,28.3,NA
henderson,2010,37089,7.6,20.3,25.8,NA
hertford,2010,37091,12.3,21.8,34.3,NA
hoke,2010,37093,12.5,33.6,32.7,NA
hyde,2010,37095,11,NA,31.2,NA
iredell,2010,37097,8.1,26.4,26.8,NA
jackson,2010,37099,11.7,27.8,28,NA
johnston,2010,37101,11.4,25.2,31.9,NA
jones,2010,37103,12.5,NA,31.8,NA
lee,2010,37105,10,24.7,28.7,NA
lenoir,2010,37107,12.7,24.8,32.5,NA
lincoln,2010,37109,9.4,24.1,28.4,NA
macon,2010,37113,8,19.2,27.7,NA
madison,2010,37115,9.2,32.2,26.5,NA
martin,2010,37117,12.4,22.3,34.2,NA
mcdowell,2010,37111,11.6,26.3,32.2,NA
mecklenburg,2010,37119,9,17.4,24.2,NA
mitchell,2010,37121,9.2,26,26.2,NA
montgomery,2010,37123,11.1,26.6,30.8,NA
moore,2010,37125,8.8,20.5,24.1,NA
nash,2010,37127,10.9,23.2,32.3,NA
new hanover,2010,37129,10,20,23.8,NA
northampton,2010,37131,11.2,25.5,37.5,NA
onslow,2010,37133,10.6,26.2,29.8,NA
orange,2010,37135,7,13.1,22.3,NA
pamlico,2010,37137,10.3,30.6,28.7,NA
