county_fips,pct_rural,rural
01001,45.9,Mostly Urban
01003,58.69,Mostly Rural
01005,69.33,Mostly Rural
01007,85.67,Mostly Rural
01009,91.3,Mostly Rural
01011,73.09,Mostly Rural
01013,75.07,Mostly Rural
01015,30.46,Mostly Urban
01017,48.83,Mostly Urban
01019,100,Rural
01021,87.85,Mostly Rural
01023,100,Rural
01025,75.04,Mostly Rural
01027,100,Rural
01029,100,Rural
01031,55.5,Mostly Rural
01033,45.98,Mostly Urban
01035,100,Rural
01037,100,Rural
01039,71.85,Mostly Rural
01041,100,Rural
01043,74.75,Mostly Rural
01045,56.2,Mostly Rural
01047,45.65,Mostly Urban
01049,88.62,Mostly Rural
01051,67.73,Mostly Rural
01053,57.5,Mostly Rural
01055,37.22,Mostly Urban
01057,78.27,Mostly Rural
01059,73.09,Mostly Rural
01061,87.36,Mostly Rural
01063,100,Rural
01065,86.19,Mostly Rural
01067,100,Rural
01069,34.53,Mostly Urban
01071,75.51,Mostly Rural
01073,9.82,Mostly Urban
01075,100,Rural
01077,49.53,Mostly Urban
01079,92.12,Mostly Rural
01081,31.37,Mostly Urban
01083,67.79,Mostly Rural
01085,100,Rural
01087,51.88,Mostly Rural
01089,21.04,Mostly Urban
01091,71.33,Mostly Rural
01093,99.44,Mostly Rural
01095,57.68,Mostly Rural
01097,18.85,Mostly Urban
01099,79.24,Mostly Rural
01101,11.27,Mostly Urban
01103,41.71,Mostly Urban
01105,100,Rural
01107,100,Rural
01109,61.42,Mostly Rural
01111,79.37,Mostly Rural
01113,34.53,Mostly Urban
01115,86.69,Mostly Rural
01117,37.4,Mostly Urban
01119,100,Rural
01121,56.58,Mostly Rural
01123,75.88,Mostly Rural
01125,27.56,Mostly Urban
01127,76.93,Mostly Rural
01129,100,Rural
01131,100,Rural
01133,84.03,Mostly Rural
02013,100,Rural
02016,72.83,Mostly Rural
02020,4.35,Mostly Urban
02050,68.54,Mostly Rural
02060,100,Rural
02068,100,Rural
02070,100,Rural
02090,32.65,Mostly Urban
02100,100,Rural
02110,17.29,Mostly Urban
02122,86.49,Mostly Rural
02130,23.19,Mostly Urban
02150,27.33,Mostly Urban
02164,100,Rural
02170,73.19,Mostly Rural
02180,68.21,Mostly Rural
02185,40.43,Mostly Urban
02188,60.71,Mostly Rural
02201,100,Rural
