year,county,county_fips,diabetes_percentage,pct_american_indian_or_alaska_native,pct_asian_or_pacific_islander,pct_black_or_african_american,pct_white,pct_hispanic_or_latino,pct_not_hispanic_or_latino,pct_20-44,pct_45-64,pct_65-74,pct_75+,adult_smoking_percent,adult_obesity_percent,physical_inactivity_percent,rural
2010,alamance,37001,11.2,0.84,1.01,13.89,57.51,6.05,67.2,32.18,26.43,7.59,7.05,25.6,28.8,NA,FALSE
2011,alamance,37001,11,0.85,1.03,14.02,57.51,6.13,67.29,31.85,26.8,7.72,7.04,23,31.4,27.9,FALSE
2012,alamance,37001,10.7,0.86,1.08,14.22,57.52,6.26,67.41,31.57,26.85,8.19,7.06,23.6,33.5,28.3,FALSE
2013,alamance,37001,9.6,0.86,1.14,14.33,57.44,6.41,67.36,31.33,26.76,8.58,7.1,23.3,33.5,28.3,FALSE
2014,alamance,37001,10.1,0.88,1.18,14.51,57.32,6.52,67.36,31.05,26.79,8.91,7.13,23.8,34.1,27.3,FALSE
2010,alexander,37003,9.5,0.33,0.63,4.59,69.57,2.31,72.81,30.93,28.9,9.23,6.06,24.4,28.2,NA,FALSE
2011,alexander,37003,9.2,0.34,0.66,4.56,70.09,2.36,73.29,30.59,29.25,9.61,6.2,21.5,28.6,26.3,FALSE
2012,alexander,37003,9.7,0.33,0.69,4.71,70.32,2.28,73.77,30.3,28.96,10.22,6.57,25.8,28.4,24.8,FALSE
2013,alexander,37003,9.8,0.35,0.73,4.88,70.51,2.33,74.14,30.04,28.85,10.75,6.83,25.5,28.4,24.8,FALSE
2014,alexander,37003,9.8,0.37,0.77,4.99,70.9,2.42,74.62,30.09,28.84,10.94,7.16,26,27.2,23.3,FALSE
2010,alleghany,37005,9,0.31,0.35,1.14,75.9,5.58,72.11,26.49,30.48,11.58,9.14,27.3,25.9,NA,TRUE
2011,alleghany,37005,8.8,0.31,0.41,1.2,76.23,5.44,72.71,26.02,30.74,12,9.4,28.5,26.7,29,TRUE
2012,alleghany,37005,9.4,0.3,0.46,1.3,76.72,5.53,73.24,25.7,30.49,12.79,9.79,27.2,25,29.9,TRUE
2013,alleghany,37005,9.8,0.32,0.5,1.27,77.72,5.49,74.31,25.26,30.56,13.87,10.12,27.9,25,29.9,TRUE
2014,alleghany,37005,9.7,0.34,0.57,1.4,77.62,5.61,74.32,24.79,30.13,14.53,10.48,27.1,24.7,31.4,TRUE
2010,anson,37007,12.1,0.55,0.79,35.6,38.67,2.05,73.55,33.44,27.73,7.94,6.49,25.1,33.1,NA,TRUE
2011,anson,37007,12.3,0.6,0.81,36.04,38.53,2.1,73.88,33.34,27.97,8.11,6.57,20.4,33,30.7,TRUE
2012,anson,37007,12.6,0.63,0.8,36.35,38.65,2.21,74.23,33.19,28.03,8.59,6.63,17.2,35.5,30.1,TRUE
2013,anson,37007,13.3,0.6,0.85,36.68,38.79,2.27,74.67,32.99,28.07,9.05,6.82,18.2,35.5,30.1,TRUE
2014,anson,37007,12.7,0.65,0.85,37.55,38.78,2.48,75.36,34.03,27.72,9.42,6.67,19.8,34.6,29,TRUE
2010,ashe,37009,7.7,0.19,0.33,0.71,77.42,3.15,75.5,27.86,30.58,11.47,8.74,23.8,28.4,NA,TRUE
2011,ashe,37009,7.9,0.2,0.36,0.71,77.77,3.1,75.94,27.6,30.75,11.72,8.96,23.2,24.4,25.9,TRUE
2012,ashe,37009,8,0.22,0.37,0.75,77.96,3.11,76.2,27.22,30.51,12.44,9.13,24.8,23,26.3,TRUE
2013,ashe,37009,9,0.23,0.41,0.83,77.91,3.1,76.27,26.89,30.08,13.06,9.34,24.4,23,26.3,TRUE
2014,ashe,37009,9.3,0.24,0.44,0.82,78.14,3.2,76.44,26.74,29.72,13.48,9.7,24,22.5,27.7,TRUE
2010,avery,37011,9.2,0.39,0.29,3.88,75.39,2.96,76.98,33.56,28.92,9.63,7.83,24.9,26.5,NA,TRUE
2011,avery,37011,8.8,0.38,0.3,3.91,75.41,3.11,76.9,33.34,28.93,9.89,7.86,24.1,28.4,20.7,TRUE
2012,avery,37011,8.6,0.38,0.32,4.02,75.8,3.1,77.42,33.33,28.54,10.63,8.01,24.1,29.7,21.3,TRUE
2013,avery,37011,9.5,0.4,0.32,4.04,75.89,3.12,77.53,33.27,28.19,10.96,8.23,22.5,29.7,21.3,TRUE
2014,avery,37011,10.5,0.4,0.31,4.07,76.21,3.3,77.69,33.14,27.91,11.44,8.49,24.5,28.9,24.6,TRUE
2010,beaufort,37013,12.1,0.51,0.36,18.67,56.2,3.66,72.07,27.08,30.12,10.94,7.59,24.1,34.1,NA,TRUE
2011,beaufort,37013,10.8,0.52,0.39,18.75,56.4,3.78,72.27,26.98,29.95,11.38,7.74,22.8,33.7,27.8,TRUE
2012,beaufort,37013,11.6,0.55,0.43,18.69,56.7,3.91,72.46,26.84,29.43,12.12,7.98,21.4,35.7,30,TRUE
2013,beaufort,37013,10.7,0.57,0.43,18.84,56.9,4,72.74,26.82,29.05,12.63,8.24,NA,35.7,30,TRUE
2014,beaufort,37013,11.5,0.61,0.44,18.83,57.07,3.96,72.99,26.66,28.76,13.08,8.45,28.3,34.3,31,TRUE
2010,bertie,37015,12.4,0.39,0.38,46.81,29.3,0.8,76.08,29.36,30.19,9.11,8.21,20.3,37,NA,TRUE
2011,bertie,37015,12,0.41,0.4,47.14,29.6,0.88,76.67,29.41,30.31,9.33,8.49,16.7,35.9,29.5,TRUE
2012,bertie,37015,11.6,0.42,0.42,47.38,29.78,0.97,77.03,29.26,30.16,9.94,8.65,14.5,37.5,30.8,TRUE
