county,state,state_abb,year,total_population
autauga county,alabama,AL,2010,54773
autauga county,alabama,AL,2011,55227
autauga county,alabama,AL,2012,54954
autauga county,alabama,AL,2013,54727
autauga county,alabama,AL,2014,54893
autauga county,alabama,AL,2015,54864
autauga county,alabama,AL,2016,55243
autauga county,alabama,AL,2017,55390
autauga county,alabama,AL,2018,55533
autauga county,alabama,AL,2019,55869
baldwin county,alabama,AL,2010,183112
baldwin county,alabama,AL,2011,186558
baldwin county,alabama,AL,2012,190145
baldwin county,alabama,AL,2013,194885
baldwin county,alabama,AL,2014,199183
baldwin county,alabama,AL,2015,202939
baldwin county,alabama,AL,2016,207601
baldwin county,alabama,AL,2017,212521
baldwin county,alabama,AL,2018,217855
baldwin county,alabama,AL,2019,223234
barbour county,alabama,AL,2010,27327
barbour county,alabama,AL,2011,27341
barbour county,alabama,AL,2012,27169
barbour county,alabama,AL,2013,26937
barbour county,alabama,AL,2014,26755
barbour county,alabama,AL,2015,26283
barbour county,alabama,AL,2016,25806
barbour county,alabama,AL,2017,25157
barbour county,alabama,AL,2018,24872
barbour county,alabama,AL,2019,24686
bibb county,alabama,AL,2010,22870
bibb county,alabama,AL,2011,22745
bibb county,alabama,AL,2012,22667
bibb county,alabama,AL,2013,22521
bibb county,alabama,AL,2014,22553
bibb county,alabama,AL,2015,22566
bibb county,alabama,AL,2016,22586
bibb county,alabama,AL,2017,22550
bibb county,alabama,AL,2018,22367
bibb county,alabama,AL,2019,22394
blount county,alabama,AL,2010,57376
blount county,alabama,AL,2011,57560
blount county,alabama,AL,2012,57580
blount county,alabama,AL,2013,57619
blount county,alabama,AL,2014,57526
blount county,alabama,AL,2015,57526
blount county,alabama,AL,2016,57494
blount county,alabama,AL,2017,57787
blount county,alabama,AL,2018,57771
blount county,alabama,AL,2019,57826
bullock county,alabama,AL,2010,10876
bullock county,alabama,AL,2011,10675
bullock county,alabama,AL,2012,10606
bullock county,alabama,AL,2013,10549
bullock county,alabama,AL,2014,10663
bullock county,alabama,AL,2015,10400
bullock county,alabama,AL,2016,10389
bullock county,alabama,AL,2017,10176
bullock county,alabama,AL,2018,10174
bullock county,alabama,AL,2019,10101
butler county,alabama,AL,2010,20932
butler county,alabama,AL,2011,20866
butler county,alabama,AL,2012,20670
butler county,alabama,AL,2013,20356
butler county,alabama,AL,2014,20327
butler county,alabama,AL,2015,20162
butler county,alabama,AL,2016,20012
butler county,alabama,AL,2017,19888
butler county,alabama,AL,2018,19631
butler county,alabama,AL,2019,19448
calhoun county,alabama,AL,2010,118408
calhoun county,alabama,AL,2011,117744
calhoun county,alabama,AL,2012,117190
calhoun county,alabama,AL,2013,116471
calhoun county,alabama,AL,2014,115917
calhoun county,alabama,AL,2015,115469
calhoun county,alabama,AL,2016,114973
calhoun county,alabama,AL,2017,114710
calhoun county,alabama,AL,2018,114331
calhoun county,alabama,AL,2019,113605
chambers county,alabama,AL,2010,34122
chambers county,alabama,AL,2011,34033
chambers county,alabama,AL,2012,34104
chambers county,alabama,AL,2013,34139
chambers county,alabama,AL,2014,33977
chambers county,alabama,AL,2015,33996
chambers county,alabama,AL,2016,33745
chambers county,alabama,AL,2017,33707
chambers county,alabama,AL,2018,33600
chambers county,alabama,AL,2019,33254
cherokee county,alabama,AL,2010,25963
cherokee county,alabama,AL,2011,25989
cherokee county,alabama,AL,2012,25958
cherokee county,alabama,AL,2013,26017
cherokee county,alabama,AL,2014,25895
cherokee county,alabama,AL,2015,25732
cherokee county,alabama,AL,2016,25768
cherokee county,alabama,AL,2017,25805
cherokee county,alabama,AL,2018,26014
cherokee county,alabama,AL,2019,26196
chilton county,alabama,AL,2010,43653
chilton county,alabama,AL,2011,43689
chilton county,alabama,AL,2012,43582
chilton county,alabama,AL,2013,43628
chilton county,alabama,AL,2014,43760
chilton county,alabama,AL,2015,43700
chilton county,alabama,AL,2016,43866
chilton county,alabama,AL,2017,44120
chilton county,alabama,AL,2018,44163
chilton county,alabama,AL,2019,44428
choctaw county,alabama,AL,2010,13849
choctaw county,alabama,AL,2011,13609
choctaw county,alabama,AL,2012,13563
choctaw county,alabama,AL,2013,13397
choctaw county,alabama,AL,2014,13317
choctaw county,alabama,AL,2015,13231
choctaw county,alabama,AL,2016,13045
choctaw county,alabama,AL,2017,12925
choctaw county,alabama,AL,2018,12833
choctaw county,alabama,AL,2019,12589
clarke county,alabama,AL,2010,25766
clarke county,alabama,AL,2011,25587
clarke county,alabama,AL,2012,25155
clarke county,alabama,AL,2013,25123
clarke county,alabama,AL,2014,24864
clarke county,alabama,AL,2015,24698
clarke county,alabama,AL,2016,24340
clarke county,alabama,AL,2017,24063
clarke county,alabama,AL,2018,23918
clarke county,alabama,AL,2019,23622
clay county,alabama,AL,2010,13898
clay county,alabama,AL,2011,13687
clay county,alabama,AL,2012,13434
clay county,alabama,AL,2013,13404
clay county,alabama,AL,2014,13441
clay county,alabama,AL,2015,13415
clay county,alabama,AL,2016,13393
clay county,alabama,AL,2017,13350
clay county,alabama,AL,2018,13294
clay county,alabama,AL,2019,13235
cleburne county,alabama,AL,2010,15004
cleburne county,alabama,AL,2011,14928
cleburne county,alabama,AL,2012,14889
cleburne county,alabama,AL,2013,14976
cleburne county,alabama,AL,2014,15026
cleburne county,alabama,AL,2015,14914
cleburne county,alabama,AL,2016,14848
cleburne county,alabama,AL,2017,14899
cleburne county,alabama,AL,2018,15010
cleburne county,alabama,AL,2019,14910
coffee county,alabama,AL,2010,50208
coffee county,alabama,AL,2011,50444
coffee county,alabama,AL,2012,51141
coffee county,alabama,AL,2013,50681
coffee county,alabama,AL,2014,50657
coffee county,alabama,AL,2015,50963
coffee county,alabama,AL,2016,51202
coffee county,alabama,AL,2017,51853
coffee county,alabama,AL,2018,51950
coffee county,alabama,AL,2019,52342
colbert county,alabama,AL,2010,54524
colbert county,alabama,AL,2011,54539
colbert county,alabama,AL,2012,54570
colbert county,alabama,AL,2013,54529
colbert county,alabama,AL,2014,54462
colbert county,alabama,AL,2015,54417
colbert county,alabama,AL,2016,54497
colbert county,alabama,AL,2017,54695
colbert county,alabama,AL,2018,55004
colbert county,alabama,AL,2019,55241
conecuh county,alabama,AL,2010,13236
conecuh county,alabama,AL,2011,13195
conecuh county,alabama,AL,2012,13046
conecuh county,alabama,AL,2013,12912
conecuh county,alabama,AL,2014,12677
conecuh county,alabama,AL,2015,12678
conecuh county,alabama,AL,2016,12500
conecuh county,alabama,AL,2017,12431
conecuh county,alabama,AL,2018,12292
conecuh county,alabama,AL,2019,12067
coosa county,alabama,AL,2010,11780
coosa county,alabama,AL,2011,11486
coosa county,alabama,AL,2012,11346
coosa county,alabama,AL,2013,11254
coosa county,alabama,AL,2014,11037
coosa county,alabama,AL,2015,10934
coosa county,alabama,AL,2016,10819
coosa county,alabama,AL,2017,10724
coosa county,alabama,AL,2018,10643
coosa county,alabama,AL,2019,10663
covington county,alabama,AL,2010,37809
covington county,alabama,AL,2011,38020
covington county,alabama,AL,2012,37805
covington county,alabama,AL,2013,37814
covington county,alabama,AL,2014,37760
covington county,alabama,AL,2015,37556
covington county,alabama,AL,2016,37382
covington county,alabama,AL,2017,37062
covington county,alabama,AL,2018,36953
covington county,alabama,AL,2019,37049
crenshaw county,alabama,AL,2010,13869
crenshaw county,alabama,AL,2011,13894
crenshaw county,alabama,AL,2012,13915
crenshaw county,alabama,AL,2013,13847
crenshaw county,alabama,AL,2014,13851
crenshaw county,alabama,AL,2015,13850
crenshaw county,alabama,AL,2016,13916
crenshaw county,alabama,AL,2017,13858
crenshaw county,alabama,AL,2018,13825
crenshaw county,alabama,AL,2019,13772
cullman county,alabama,AL,2010,80456
cullman county,alabama,AL,2011,80410
cullman county,alabama,AL,2012,80279
cullman county,alabama,AL,2013,80690
cullman county,alabama,AL,2014,81068
cullman county,alabama,AL,2015,81761
cullman county,alabama,AL,2016,82450
cullman county,alabama,AL,2017,82867
cullman county,alabama,AL,2018,83418
cullman county,alabama,AL,2019,83768
dale county,alabama,AL,2010,50394
dale county,alabama,AL,2011,50122
dale county,alabama,AL,2012,50289
dale county,alabama,AL,2013,49771
dale county,alabama,AL,2014,49414
dale county,alabama,AL,2015,49365
dale county,alabama,AL,2016,49362
dale county,alabama,AL,2017,49342
dale county,alabama,AL,2018,49143
dale county,alabama,AL,2019,49172
dallas county,alabama,AL,2010,43854
dallas county,alabama,AL,2011,43251
dallas county,alabama,AL,2012,42789
dallas county,alabama,AL,2013,41976
dallas county,alabama,AL,2014,41554
dallas county,alabama,AL,2015,40936
dallas county,alabama,AL,2016,40080
dallas county,alabama,AL,2017,39238
dallas county,alabama,AL,2018,38294
dallas county,alabama,AL,2019,37196
dekalb county,alabama,AL,2010,71163
dekalb county,alabama,AL,2011,71365
dekalb county,alabama,AL,2012,70944
dekalb county,alabama,AL,2013,70912
dekalb county,alabama,AL,2014,70993
dekalb county,alabama,AL,2015,71087
dekalb county,alabama,AL,2016,71104
dekalb county,alabama,AL,2017,71437
dekalb county,alabama,AL,2018,71407
dekalb county,alabama,AL,2019,71513
elmore county,alabama,AL,2010,79552
elmore county,alabama,AL,2011,79993
elmore county,alabama,AL,2012,80193
elmore county,alabama,AL,2013,80536
elmore county,alabama,AL,2014,80538
elmore county,alabama,AL,2015,80872
elmore county,alabama,AL,2016,81204
elmore county,alabama,AL,2017,81422
elmore county,alabama,AL,2018,81011
elmore county,alabama,AL,2019,81209
escambia county,alabama,AL,2010,38345
escambia county,alabama,AL,2011,38204
escambia county,alabama,AL,2012,38023
escambia county,alabama,AL,2013,37765
escambia county,alabama,AL,2014,37735
escambia county,alabama,AL,2015,37661
escambia county,alabama,AL,2016,37475
escambia county,alabama,AL,2017,36993
escambia county,alabama,AL,2018,36524
escambia county,alabama,AL,2019,36633
etowah county,alabama,AL,2010,104459
etowah county,alabama,AL,2011,104369
etowah county,alabama,AL,2012,104278
etowah county,alabama,AL,2013,103884
etowah county,alabama,AL,2014,103399
etowah county,alabama,AL,2015,102998
etowah county,alabama,AL,2016,102855
etowah county,alabama,AL,2017,103007
etowah county,alabama,AL,2018,102611
etowah county,alabama,AL,2019,102268
fayette county,alabama,AL,2010,17229
fayette county,alabama,AL,2011,17052
fayette county,alabama,AL,2012,16945
fayette county,alabama,AL,2013,16824
fayette county,alabama,AL,2014,16772
fayette county,alabama,AL,2015,16696
fayette county,alabama,AL,2016,16563
fayette county,alabama,AL,2017,16466
fayette county,alabama,AL,2018,16445
fayette county,alabama,AL,2019,16302
franklin county,alabama,AL,2010,31746
franklin county,alabama,AL,2011,31776
franklin county,alabama,AL,2012,31690
franklin county,alabama,AL,2013,31553
franklin county,alabama,AL,2014,31559
franklin county,alabama,AL,2015,31515
franklin county,alabama,AL,2016,31611
franklin county,alabama,AL,2017,31542
franklin county,alabama,AL,2018,31298
franklin county,alabama,AL,2019,31362
geneva county,alabama,AL,2010,26777
geneva county,alabama,AL,2011,26756
geneva county,alabama,AL,2012,26924
geneva county,alabama,AL,2013,26677
geneva county,alabama,AL,2014,26593
geneva county,alabama,AL,2015,26631
geneva county,alabama,AL,2016,26494
geneva county,alabama,AL,2017,26385
geneva county,alabama,AL,2018,26306
geneva county,alabama,AL,2019,26271
greene county,alabama,AL,2010,8991
greene county,alabama,AL,2011,8903
greene county,alabama,AL,2012,8848
greene county,alabama,AL,2013,8748
greene county,alabama,AL,2014,8584
greene county,alabama,AL,2015,8508
greene county,alabama,AL,2016,8482
greene county,alabama,AL,2017,8310
greene county,alabama,AL,2018,8209
greene county,alabama,AL,2019,8111
hale county,alabama,AL,2010,15745
hale county,alabama,AL,2011,15361
hale county,alabama,AL,2012,15364
hale county,alabama,AL,2013,15246
hale county,alabama,AL,2014,15046
hale county,alabama,AL,2015,15015
hale county,alabama,AL,2016,14828
hale county,alabama,AL,2017,14801
hale county,alabama,AL,2018,14749
hale county,alabama,AL,2019,14651
henry county,alabama,AL,2010,17296
henry county,alabama,AL,2011,17377
henry county,alabama,AL,2012,17153
henry county,alabama,AL,2013,17129
henry county,alabama,AL,2014,17079
henry county,alabama,AL,2015,17101
henry county,alabama,AL,2016,17072
henry county,alabama,AL,2017,17115
henry county,alabama,AL,2018,17173
henry county,alabama,AL,2019,17205
houston county,alabama,AL,2010,101798
houston county,alabama,AL,2011,102488
houston county,alabama,AL,2012,103371
houston county,alabama,AL,2013,103643
houston county,alabama,AL,2014,104158
houston county,alabama,AL,2015,104260
houston county,alabama,AL,2016,104218
houston county,alabama,AL,2017,104378
houston county,alabama,AL,2018,104770
houston county,alabama,AL,2019,105882
jackson county,alabama,AL,2010,53184
jackson county,alabama,AL,2011,53214
jackson county,alabama,AL,2012,53079
jackson county,alabama,AL,2013,52957
jackson county,alabama,AL,2014,52562
jackson county,alabama,AL,2015,52195
jackson county,alabama,AL,2016,51988
jackson county,alabama,AL,2017,51828
jackson county,alabama,AL,2018,51621
jackson county,alabama,AL,2019,51626
jefferson county,alabama,AL,2010,658215
jefferson county,alabama,AL,2011,658109
jefferson county,alabama,AL,2012,658061
jefferson county,alabama,AL,2013,659265
jefferson county,alabama,AL,2014,659972
jefferson county,alabama,AL,2015,660455
jefferson county,alabama,AL,2016,660343
jefferson county,alabama,AL,2017,659599
jefferson county,alabama,AL,2018,659429
jefferson county,alabama,AL,2019,658573
lamar county,alabama,AL,2010,14496
lamar county,alabama,AL,2011,14291
lamar county,alabama,AL,2012,14248
lamar county,alabama,AL,2013,14212
lamar county,alabama,AL,2014,14067
lamar county,alabama,AL,2015,13927
lamar county,alabama,AL,2016,13928
lamar county,alabama,AL,2017,13882
lamar county,alabama,AL,2018,13882
lamar county,alabama,AL,2019,13805
lauderdale county,alabama,AL,2010,92737
lauderdale county,alabama,AL,2011,92607
lauderdale county,alabama,AL,2012,92662
lauderdale county,alabama,AL,2013,92701
lauderdale county,alabama,AL,2014,93000
lauderdale county,alabama,AL,2015,92459
lauderdale county,alabama,AL,2016,92425
lauderdale county,alabama,AL,2017,92564
lauderdale county,alabama,AL,2018,92604
lauderdale county,alabama,AL,2019,92729
lawrence county,alabama,AL,2010,34342
lawrence county,alabama,AL,2011,34051
lawrence county,alabama,AL,2012,33806
lawrence county,alabama,AL,2013,33575
lawrence county,alabama,AL,2014,33444
lawrence county,alabama,AL,2015,33135
lawrence county,alabama,AL,2016,33227
lawrence county,alabama,AL,2017,33063
lawrence county,alabama,AL,2018,32941
lawrence county,alabama,AL,2019,32924
lee county,alabama,AL,2010,140794
lee county,alabama,AL,2011,144130
lee county,alabama,AL,2012,148567
lee county,alabama,AL,2013,151809
lee county,alabama,AL,2014,154511
lee county,alabama,AL,2015,156954
lee county,alabama,AL,2016,159168
lee county,alabama,AL,2017,161440
lee county,alabama,AL,2018,163656
lee county,alabama,AL,2019,164542
limestone county,alabama,AL,2010,83181
limestone county,alabama,AL,2011,85557
limestone county,alabama,AL,2012,87326
limestone county,alabama,AL,2013,88916
limestone county,alabama,AL,2014,90599
limestone county,alabama,AL,2015,91565
limestone county,alabama,AL,2016,92847
limestone county,alabama,AL,2017,94130
limestone county,alabama,AL,2018,96177
limestone county,alabama,AL,2019,98915
lowndes county,alabama,AL,2010,11289
lowndes county,alabama,AL,2011,11140
lowndes county,alabama,AL,2012,10851
lowndes county,alabama,AL,2013,10661
lowndes county,alabama,AL,2014,10494
lowndes county,alabama,AL,2015,10350
lowndes county,alabama,AL,2016,10248
lowndes county,alabama,AL,2017,10097
lowndes county,alabama,AL,2018,9974
lowndes county,alabama,AL,2019,9726
macon county,alabama,AL,2010,21505
macon county,alabama,AL,2011,21284
macon county,alabama,AL,2012,20608
macon county,alabama,AL,2013,20021
macon county,alabama,AL,2014,19641
macon county,alabama,AL,2015,19296
macon county,alabama,AL,2016,19060
macon county,alabama,AL,2017,18793
macon county,alabama,AL,2018,18321
macon county,alabama,AL,2019,18068
madison county,alabama,AL,2010,336095
madison county,alabama,AL,2011,339565
madison county,alabama,AL,2012,342730
madison county,alabama,AL,2013,346625
madison county,alabama,AL,2014,349796
madison county,alabama,AL,2015,352977
madison county,alabama,AL,2016,356729
madison county,alabama,AL,2017,361762
madison county,alabama,AL,2018,367004
madison county,alabama,AL,2019,372909
marengo county,alabama,AL,2010,20956
marengo county,alabama,AL,2011,20661
marengo county,alabama,AL,2012,20375
marengo county,alabama,AL,2013,20119
marengo county,alabama,AL,2014,19986
marengo county,alabama,AL,2015,19766
marengo county,alabama,AL,2016,19525
marengo county,alabama,AL,2017,19396
marengo county,alabama,AL,2018,19056
marengo county,alabama,AL,2019,18863
marion county,alabama,AL,2010,30816
marion county,alabama,AL,2011,30652
marion county,alabama,AL,2012,30484
marion county,alabama,AL,2013,30224
marion county,alabama,AL,2014,30199
marion county,alabama,AL,2015,30119
marion county,alabama,AL,2016,29960
marion county,alabama,AL,2017,29792
marion county,alabama,AL,2018,29750
marion county,alabama,AL,2019,29709
marshall county,alabama,AL,2010,93122
marshall county,alabama,AL,2011,93895
marshall county,alabama,AL,2012,94260
