Diagnosed Diabetes; Age-Adjusted; Percentage; Adults Aged 20+ Years; North Carolina Counties; 2006
Data downloaded on 7-April-2020
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Alamance County,North Carolina,37001,9.6,8.4,11.0
Alexander County,North Carolina,37003,8.8,6.7,11.5
Alleghany County,North Carolina,37005,8.6,6.4,11.2
Anson County,North Carolina,37007,10.1,7.8,12.5
Ashe County,North Carolina,37009,7.9,6.2,10.0
Avery County,North Carolina,37011,8.9,6.7,11.2
Beaufort County,North Carolina,37013,9.6,7.8,11.7
Bertie County,North Carolina,37015,11.9,9.6,14.9
Bladen County,North Carolina,37017,9.7,7.8,12.1
Brunswick County,North Carolina,37019,7.9,6.5,9.5
Buncombe County,North Carolina,37021,7.4,6.3,8.7
Burke County,North Carolina,37023,8.6,7.0,10.5
Cabarrus County,North Carolina,37025,9.6,8.3,11.0
Caldwell County,North Carolina,37027,9.3,7.5,11.3
Camden County,North Carolina,37029,10.3,7.9,13.3
Carteret County,North Carolina,37031,9.5,7.6,11.7
Caswell County,North Carolina,37033,11.1,8.9,13.6
Catawba County,North Carolina,37035,8.8,7.6,10.1
Chatham County,North Carolina,37037,8.8,7.1,10.7
Cherokee County,North Carolina,37039,9.3,7.1,11.9
Chowan County,North Carolina,37041,9.8,7.5,12.5
Clay County,North Carolina,37043,8.9,6.5,11.9
Cleveland County,North Carolina,37045,11.2,9.0,13.6
Columbus County,North Carolina,37047,11.0,8.9,13.4
Craven County,North Carolina,37049,8.4,6.9,10.0
Cumberland County,North Carolina,37051,10.6,9.2,11.9
Currituck County,North Carolina,37053,7.5,5.6,9.6
Dare County,North Carolina,37055,7.6,5.8,9.8
Davidson County,North Carolina,37057,10.2,8.8,11.5
Davie County,North Carolina,37059,9.0,6.9,11.6
Duplin County,North Carolina,37061,10.6,8.4,13.0
Durham County,North Carolina,37063,8.5,7.3,9.7
Edgecombe County,North Carolina,37065,12.2,9.9,14.6
Forsyth County,North Carolina,37067,8.2,7.1,9.4
Franklin County,North Carolina,37069,10.5,8.4,12.9
Gaston County,North Carolina,37071,10.4,9.1,11.9
Gates County,North Carolina,37073,12.0,9.5,15.1
Graham County,North Carolina,37075,8.9,6.6,12.0
Granville County,North Carolina,37077,9.7,7.9,11.7
Greene County,North Carolina,37079,11.7,9.2,14.6
Guilford County,North Carolina,37081,9.2,8.1,10.5
Halifax County,North Carolina,37083,12.5,10.4,14.8
Harnett County,North Carolina,37085,9.9,8.1,11.9
Haywood County,North Carolina,37087,8.7,6.8,10.9
Henderson County,North Carolina,37089,6.9,5.6,8.5
Hertford County,North Carolina,37091,13.9,11.2,16.6
Hoke County,North Carolina,37093,11.9,9.8,14.1
Hyde County,North Carolina,37095,10.7,8.1,13.9
Iredell County,North Carolina,37097,8.4,7.2,9.7
Jackson County,North Carolina,37099,9.2,7.3,11.4
Johnston County,North Carolina,37101,9.5,8.2,10.8
Jones County,North Carolina,37103,10.6,8.1,13.5
Lee County,North Carolina,37105,9.4,7.5,11.5
Lenoir County,North Carolina,37107,10.3,8.2,12.6
