Diagnosed Diabetes; Age-Adjusted; Percentage; Adults Aged 20+ Years; North Carolina Counties; 2012
Data downloaded on 7-April-2020
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Alamance County,North Carolina,37001,10.7,8.9,12.7
Alexander County,North Carolina,37003,9.7,7.2,12.7
Alleghany County,North Carolina,37005,9.4,6.8,12.7
Anson County,North Carolina,37007,12.6,9.6,16.3
Ashe County,North Carolina,37009,8.0,5.9,10.7
Avery County,North Carolina,37011,8.6,6.3,11.5
Beaufort County,North Carolina,37013,11.6,8.9,14.9
Bertie County,North Carolina,37015,11.6,8.8,14.8
Bladen County,North Carolina,37017,12.6,9.7,16.1
Brunswick County,North Carolina,37019,8.6,6.8,10.7
Buncombe County,North Carolina,37021,8.0,6.8,9.4
Burke County,North Carolina,37023,10.9,8.6,13.6
Cabarrus County,North Carolina,37025,9.3,7.8,11.1
Caldwell County,North Carolina,37027,12.1,9.5,15.0
Camden County,North Carolina,37029,9.9,7.3,13.0
Carteret County,North Carolina,37031,8.7,6.6,11.1
Caswell County,North Carolina,37033,10.8,8.2,14.0
Catawba County,North Carolina,37035,11.9,9.9,14.1
Chatham County,North Carolina,37037,8.7,6.8,10.9
Cherokee County,North Carolina,37039,11.1,8.1,14.5
Chowan County,North Carolina,37041,11.0,8.3,14.9
Clay County,North Carolina,37043,9.2,6.5,12.6
Cleveland County,North Carolina,37045,10.5,8.3,13.0
Columbus County,North Carolina,37047,12.9,10.0,16.4
Craven County,North Carolina,37049,9.7,7.7,12.0
Cumberland County,North Carolina,37051,12.1,10.6,13.6
Currituck County,North Carolina,37053,9.4,6.8,12.4
Dare County,North Carolina,37055,8.7,6.3,11.6
Davidson County,North Carolina,37057,10.4,8.7,12.3
Davie County,North Carolina,37059,9.8,7.4,12.7
Duplin County,North Carolina,37061,11.2,8.8,14.1
Durham County,North Carolina,37063,9.9,8.7,11.2
Edgecombe County,North Carolina,37065,13.8,10.8,17.2
Forsyth County,North Carolina,37067,9.6,8.3,11.0
Franklin County,North Carolina,37069,11.8,9.2,14.7
Gaston County,North Carolina,37071,13.4,11.6,15.2
Gates County,North Carolina,37073,10.4,7.8,13.6
Graham County,North Carolina,37075,9.5,6.9,12.6
Granville County,North Carolina,37077,12.1,9.5,15.1
Greene County,North Carolina,37079,11.8,9.0,15.2
Guilford County,North Carolina,37081,9.1,8.1,10.3
Halifax County,North Carolina,37083,12.6,9.9,15.7
Harnett County,North Carolina,37085,11.6,9.4,14.1
Haywood County,North Carolina,37087,9.7,7.2,12.5
Henderson County,North Carolina,37089,8.4,6.7,10.5
Hertford County,North Carolina,37091,12.3,9.4,15.9
Hoke County,North Carolina,37093,12.8,10.2,16.0
Hyde County,North Carolina,37095,11.0,8.3,14.5
Iredell County,North Carolina,37097,8.7,7.1,10.5
Jackson County,North Carolina,37099,12.3,9.8,15.3
Johnston County,North Carolina,37101,11.9,10.0,14.0
Jones County,North Carolina,37103,12.4,9.3,15.9
Lee County,North Carolina,37105,12.4,9.7,15.3
Lenoir County,North Carolina,37107,12.5,9.9,15.4
Lincoln County,North Carolina,37109,10.1,7.9,12.5
Macon County,North Carolina,37113,8.3,6.2,10.9
Madison County,North Carolina,37115,8.6,6.2,11.5
Martin County,North Carolina,37117,13.0,10.0,16.7
Mcdowell County,North Carolina,37111,11.9,9.0,15.0
Mecklenburg County,North Carolina,37119,8.9,7.9,10.1
Mitchell County,North Carolina,37121,11.3,8.0,15.1
Montgomery County,North Carolina,37123,11.3,8.5,14.9
Moore County,North Carolina,37125,9.0,7.1,11.2
Nash County,North Carolina,37127,10.4,8.2,12.9
New Hanover County,North Carolina,37129,7.9,6.7,9.2
Northampton County,North Carolina,37131,12.2,9.3,15.6
Onslow County,North Carolina,37133,10.9,9.2,12.9
Orange County,North Carolina,37135,7.7,6.3,9.1
Pamlico County,North Carolina,37137,11.5,8.5,15.3
Pasquotank County,North Carolina,37139,13.3,10.2,16.9
Pender County,North Carolina,37141,10.5,7.9,13.6
Perquimans County,North Carolina,37143,11.4,8.5,15.0
Person County,North Carolina,37145,11.0,8.5,14.1
Pitt County,North Carolina,37147,9.5,8.0,11.3
Polk County,North Carolina,37149,9.1,6.7,12.1
Randolph County,North Carolina,37151,10.8,9.1,12.7
Richmond County,North Carolina,37153,10.7,8.2,13.6
Robeson County,North Carolina,37155,15.3,13.7,17.0
Rockingham County,North Carolina,37157,11.1,8.8,13.7
Rowan County,North Carolina,37159,10.9,9.2,12.7
Rutherford County,North Carolina,37161,10.8,8.5,13.5
Sampson County,North Carolina,37163,12.0,9.4,15.0
Scotland County,North Carolina,37165,11.3,8.9,14.0
Stanly County,North Carolina,37167,10.1,7.6,13.0
Stokes County,North Carolina,37169,10.7,8.0,13.9
Surry County,North Carolina,37171,11.1,8.5,14.3
Swain County,North Carolina,37173,13.9,10.9,17.4
Transylvania County,North Carolina,37175,7.9,5.7,10.5
Tyrrell County,North Carolina,37177,11.7,8.9,15.3
Union County,North Carolina,37179,8.8,7.5,10.3
Vance County,North Carolina,37181,11.7,9.2,14.6
Wake County,North Carolina,37183,8.9,7.8,10.0
Warren County,North Carolina,37185,12.2,9.5,15.4
Washington County,North Carolina,37187,11.7,8.8,15.2
Watauga County,North Carolina,37189,8.4,6.3,10.8
Wayne County,North Carolina,37191,11.8,9.9,13.9
Wilkes County,North Carolina,37193,9.2,7.1,11.7
Wilson County,North Carolina,37195,12.0,9.5,14.9
Yadkin County,North Carolina,37197,8.8,6.5,11.7
Yancey County,North Carolina,37199,9.3,6.7,12.4
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
